selection_tier,building_name_recent,building_name_long_term,month,profile_monthly_kwh_mean,profile_monthly_kwh_median,profile_monthly_kwh_std,profile_monthly_kwh_min,profile_monthly_kwh_max,profile_source_month_count,profile_source_months,overall_avg_monthly_kwh,month_factor_vs_overall
primary_reliable,건축관,공대건축관,1,38596.0,38596.0,7401.99378546078,33362.0,43830.0,2,"2025-01,2026-01",32525.423076923078,1.1866409826159654
primary_reliable,건축관,공대건축관,2,36716.333333333336,38444.0,4738.896109151722,31356.0,40349.0,3,"2024-02,2025-02,2026-02",32525.423076923078,1.1288502918624208
primary_reliable,건축관,공대건축관,3,41628.333333333336,43299.0,5109.143307183048,35893.0,45693.0,3,"2024-03,2025-03,2026-03",32525.423076923078,1.2798706179741843
primary_reliable,건축관,공대건축관,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365
primary_reliable,건축관,공대건축관,5,25632.0,25632.0,584.0702012600883,25219.0,26045.0,2,"2024-05,2025-05",32525.423076923078,0.7880604639447721
primary_reliable,건축관,공대건축관,6,36368.5,36368.5,2271.934087952377,34762.0,37975.0,2,"2024-06,2025-06",32525.423076923078,1.1181560932808774
primary_reliable,건축관,공대건축관,7,19016.0,19016.0,1562.70598642227,17911.0,20121.0,2,"2024-07,2025-07",32525.423076923078,0.5846503504359312
primary_reliable,건축관,공대건축관,8,19744.0,19744.0,1269.9637790110394,18846.0,20642.0,2,"2024-08,2025-08",32525.423076923078,0.607032841765199
primary_reliable,건축관,공대건축관,9,32889.5,32889.5,968.0291834443835,32205.0,33574.0,2,"2024-09,2025-09",32525.423076923078,1.0111936106785107
primary_reliable,건축관,공대건축관,10,22682.0,22682.0,1117.228714274745,21892.0,23472.0,2,"2024-10,2025-10",32525.423076923078,0.6973621817726016
primary_reliable,건축관,공대건축관,11,34884.5,34884.5,1816.5573208682406,33600.0,36169.0,2,"2024-11,2025-11",32525.423076923078,1.0725302455712158
primary_reliable,건축관,공대건축관,12,50797.5,50797.5,221.32442251138937,50641.0,50954.0,2,"2024-12,2025-12",32525.423076923078,1.5617783012341824
primary_reliable,기계관,공대기계관,1,122594.0,122594.0,45007.34662252375,90769.0,154419.0,2,"2025-01,2026-01",78180.11538461539,1.5680969437930066
