date,report_month,year,month,day,selection_tier,building_name_recent,building_name_long_term,usage_kwh_raw,usage_kwh,usage_kwh_clean,usage_kwh_imputed_continuous,cleaning_action,was_imputed_in_clean,is_original_value_reliable,is_validation_target_strict,is_validation_target_clean,is_continuity_only,is_placeholder_zero,is_partial_day,is_known_extreme_outlier,is_suspect_zero,is_auto_high_outlier,replacement_value_kwh,replacement_source_day_count,replacement_mean_kwh,replacement_median_kwh,positive_count,positive_median_kwh,positive_mean_kwh,positive_q1_kwh,positive_q3_kwh,positive_iqr_kwh,mapping_confidence,review_required,duplicate_group,zero_rate_recent,source_file,source_section,source_row_index_1based
2026-04-01,2026-04,2026,4,1,review_optional_major,IT관,IT관,2138,2138.0,2138.0,2138.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,37
2026-04-02,2026-04,2026,4,2,review_optional_major,IT관,IT관,2116,2116.0,2116.0,2116.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,38
2026-04-03,2026-04,2026,4,3,review_optional_major,IT관,IT관,1985,1985.0,1985.0,1985.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,39
2026-04-04,2026-04,2026,4,4,review_optional_major,IT관,IT관,1132,1132.0,1132.0,1132.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,40
2026-04-05,2026-04,2026,4,5,review_optional_major,IT관,IT관,1216,1216.0,1216.0,1216.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,41
2026-04-06,2026-04,2026,4,6,review_optional_major,IT관,IT관,1955,1955.0,1955.0,1955.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,42
2026-04-07,2026-04,2026,4,7,review_optional_major,IT관,IT관,1904,1904.0,1904.0,1904.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,43
2026-04-08,2026-04,2026,4,8,review_optional_major,IT관,IT관,2148,2148.0,2148.0,2148.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,44
2026-04-09,2026-04,2026,4,9,review_optional_major,IT관,IT관,2231,2231.0,2231.0,2231.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,45
2026-04-10,2026-04,2026,4,10,review_optional_major,IT관,IT관,1848,1848.0,1848.0,1848.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,46
2026-04-11,2026-04,2026,4,11,review_optional_major,IT관,IT관,1268,1268.0,1268.0,1268.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,47
2026-04-12,2026-04,2026,4,12,review_optional_major,IT관,IT관,1371,1371.0,1371.0,1371.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,48
2026-04-13,2026-04,2026,4,13,review_optional_major,IT관,IT관,2070,2070.0,2070.0,2070.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,49
2026-04-14,2026-04,2026,4,14,review_optional_major,IT관,IT관,2092,2092.0,2092.0,2092.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,50
2026-04-15,2026-04,2026,4,15,review_optional_major,IT관,IT관,2164,2164.0,2164.0,2164.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,51
2026-04-16,2026-04,2026,4,16,review_optional_major,IT관,IT관,2218,2218.0,2218.0,2218.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,52
2026-04-17,2026-04,2026,4,17,review_optional_major,IT관,IT관,1970,1970.0,1970.0,1970.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,53
2026-04-18,2026-04,2026,4,18,review_optional_major,IT관,IT관,1556,1556.0,1556.0,1556.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,54
2026-04-19,2026-04,2026,4,19,review_optional_major,IT관,IT관,1224,1224.0,1224.0,1224.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,55
2026-04-20,2026-04,2026,4,20,review_optional_major,IT관,IT관,2031,2031.0,2031.0,2031.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,56
2026-04-21,2026-04,2026,4,21,review_optional_major,IT관,IT관,2054,2054.0,2054.0,2054.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,57
2026-04-22,2026-04,2026,4,22,review_optional_major,IT관,IT관,2056,2056.0,2056.0,2056.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,58
2026-04-23,2026-04,2026,4,23,review_optional_major,IT관,IT관,2067,2067.0,2067.0,2067.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,59
2026-04-24,2026-04,2026,4,24,review_optional_major,IT관,IT관,1955,1955.0,1955.0,1955.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,60
2026-04-25,2026-04,2026,4,25,review_optional_major,IT관,IT관,1624,1624.0,1624.0,1624.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,61
2026-04-26,2026-04,2026,4,26,review_optional_major,IT관,IT관,1198,1198.0,1198.0,1198.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,62
2026-04-27,2026-04,2026,4,27,review_optional_major,IT관,IT관,2070,2070.0,2070.0,2070.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,63
2026-04-28,2026-04,2026,4,28,review_optional_major,IT관,IT관,2044,2044.0,2044.0,2044.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,64
