date,report_month,year,month,day,selection_tier,building_name_recent,building_name_long_term,usage_kwh_raw,usage_kwh,usage_kwh_clean,usage_kwh_imputed_continuous,cleaning_action,was_imputed_in_clean,is_original_value_reliable,is_validation_target_strict,is_validation_target_clean,is_continuity_only,is_placeholder_zero,is_partial_day,is_known_extreme_outlier,is_suspect_zero,is_auto_high_outlier,replacement_value_kwh,replacement_source_day_count,replacement_mean_kwh,replacement_median_kwh,positive_count,positive_median_kwh,positive_mean_kwh,positive_q1_kwh,positive_q3_kwh,positive_iqr_kwh,mapping_confidence,review_required,duplicate_group,zero_rate_recent,source_file,source_section,source_row_index_1based,profile_month_num,profile_monthly_kwh_mean,profile_monthly_kwh_median,profile_monthly_kwh_std,profile_monthly_kwh_min,profile_monthly_kwh_max,profile_source_month_count,profile_source_months,overall_avg_monthly_kwh,month_factor_vs_overall,calendar_days_in_month,baseline_uniform_daily_kwh,school_total_daily_kwh,school_total_is_usable,school_total_observed_month_sum_kwh,school_total_observed_day_count,school_total_month_observed_completeness,school_total_day_weight_observed_month,baseline_school_shape_kwh_observed_norm,validation_period
2026-04-01,2026-04,2026,4,1,primary_reliable,건축관,공대건축관,1401,1401.0,1401.0,1401.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,37,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,76167.36,True,1863198.0,30,1.0,0.040879906483368915,1009.876769811904,validation_observed_window
2026-04-02,2026-04,2026,4,2,primary_reliable,건축관,공대건축관,1023,1023.0,1023.0,1023.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,38,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,73740.96,True,1863198.0,30,1.0,0.03957762943068853,977.7059686410141,validation_observed_window
2026-04-03,2026-04,2026,4,3,primary_reliable,건축관,공대건축관,855,855.0,855.0,855.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,39,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,68572.8,True,1863198.0,30,1.0,0.03680381795171528,909.1831167701984,validation_observed_window
2026-04-04,2026-04,2026,4,4,primary_reliable,건축관,공대건축관,683,683.0,683.0,683.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,40,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,52566.48,True,1863198.0,30,1.0,0.028213040159982997,696.96083759214,validation_observed_window
2026-04-05,2026-04,2026,4,5,primary_reliable,건축관,공대건축관,759,759.0,759.0,759.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,41,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,48785.76,True,1863198.0,30,1.0,0.02618388383843263,646.8335744027205,validation_observed_window
2026-04-06,2026-04,2026,4,6,primary_reliable,건축관,공대건축관,1106,1106.0,1106.0,1106.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,42,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,69576.48,True,1863198.0,30,1.0,0.037342504661340335,922.490563901421,validation_observed_window
2026-04-07,2026-04,2026,4,7,primary_reliable,건축관,공대건축관,1275,1275.0,1275.0,1275.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,43,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,69610.32,True,1863198.0,30,1.0,0.0373606669822531,922.9392367960894,validation_observed_window
2026-04-08,2026-04,2026,4,8,primary_reliable,건축관,공대건축관,1282,1282.0,1282.0,1282.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,44,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,70084.08,True,1863198.0,30,1.0,0.03761493947503164,929.2206573214442,validation_observed_window
2026-04-09,2026-04,2026,4,9,primary_reliable,건축관,공대건축관,1314,1314.0,1314.0,1314.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,45,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,71100.0,True,1863198.0,30,1.0,0.03816019553477408,942.6903903932915,validation_observed_window
2026-04-10,2026-04,2026,4,10,primary_reliable,건축관,공대건축관,722,722.0,722.0,722.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,46,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,64741.68,True,1863198.0,30,1.0,0.0347476113649757,858.3876173546772,validation_observed_window
