date,report_month,year,month,day,selection_tier,building_name_recent,building_name_long_term,usage_kwh_raw,usage_kwh,usage_kwh_clean,usage_kwh_imputed_continuous,cleaning_action,was_imputed_in_clean,is_original_value_reliable,is_validation_target_strict,is_validation_target_clean,is_continuity_only,is_placeholder_zero,is_partial_day,is_known_extreme_outlier,is_suspect_zero,is_auto_high_outlier,replacement_value_kwh,replacement_source_day_count,replacement_mean_kwh,replacement_median_kwh,positive_count,positive_median_kwh,positive_mean_kwh,positive_q1_kwh,positive_q3_kwh,positive_iqr_kwh,mapping_confidence,review_required,duplicate_group,zero_rate_recent,source_file,source_section,source_row_index_1based,profile_month_num,profile_monthly_kwh_mean,profile_monthly_kwh_median,profile_monthly_kwh_std,profile_monthly_kwh_min,profile_monthly_kwh_max,profile_source_month_count,profile_source_months,overall_avg_monthly_kwh,month_factor_vs_overall,calendar_days_in_month,baseline_uniform_daily_kwh,school_total_daily_kwh,school_total_is_usable,school_total_observed_month_sum_kwh,school_total_observed_day_count,school_total_month_observed_completeness,school_total_day_weight_observed_month,baseline_school_shape_kwh_observed_norm,validation_period
2026-04-01,2026-04,2026,4,1,review_optional_major,IT관,IT관,2138,2138.0,2138.0,2138.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,37,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,76167.36,True,1863198.0,30,1.0,0.040879906483368915,1444.7980948884658,validation_observed_window
2026-04-02,2026-04,2026,4,2,review_optional_major,IT관,IT관,2116,2116.0,2116.0,2116.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,38,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,73740.96,True,1863198.0,30,1.0,0.03957762943068853,1398.7723681541092,validation_observed_window
2026-04-03,2026-04,2026,4,3,review_optional_major,IT관,IT관,1985,1985.0,1985.0,1985.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,39,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,68572.8,True,1863198.0,30,1.0,0.03680381795171528,1300.7389359584972,validation_observed_window
2026-04-04,2026-04,2026,4,4,review_optional_major,IT관,IT관,1132,1132.0,1132.0,1132.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,40,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,52566.48,True,1863198.0,30,1.0,0.028213040159982997,997.1193718541991,validation_observed_window
2026-04-05,2026-04,2026,4,5,review_optional_major,IT관,IT관,1216,1216.0,1216.0,1216.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,41,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,48785.76,True,1863198.0,30,1.0,0.02618388383843263,925.4039145598052,validation_observed_window
2026-04-06,2026-04,2026,4,6,review_optional_major,IT관,IT관,1955,1955.0,1955.0,1955.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,42,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,69576.48,True,1863198.0,30,1.0,0.037342504661340335,1319.7774709934208,validation_observed_window
2026-04-07,2026-04,2026,4,7,review_optional_major,IT관,IT관,1904,1904.0,1904.0,1904.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,43,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,69610.32,True,1863198.0,30,1.0,0.0373606669822531,1320.4193728202802,validation_observed_window
2026-04-08,2026-04,2026,4,8,review_optional_major,IT관,IT관,2148,2148.0,2148.0,2148.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,44,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,70084.08,True,1863198.0,30,1.0,0.03761493947503164,1329.4059983963057,validation_observed_window
2026-04-09,2026-04,2026,4,9,review_optional_major,IT관,IT관,2231,2231.0,2231.0,2231.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,45,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,71100.0,True,1863198.0,30,1.0,0.03816019553477408,1348.676710687753,validation_observed_window
2026-04-10,2026-04,2026,4,10,review_optional_major,IT관,IT관,1848,1848.0,1848.0,1848.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,46,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,64741.68,True,1863198.0,30,1.0,0.0347476113649757,1228.0674546666537,validation_observed_window
2026-04-11,2026-04,2026,4,11,review_optional_major,IT관,IT관,1268,1268.0,1268.0,1268.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,47,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,50041.44,True,1863198.0,30,1.0,0.02685782187400373,949.2225695819768,validation_observed_window
2026-04-12,2026-04,2026,4,12,review_optional_major,IT관,IT관,1371,1371.0,1371.0,1371.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,48,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,48188.16,True,1863198.0,30,1.0,0.025863144979760607,914.0682014471893,validation_observed_window
2026-04-13,2026-04,2026,4,13,review_optional_major,IT관,IT관,2070,2070.0,2070.0,2070.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,49,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,64185.84,True,1863198.0,30,1.0,0.034449285583174734,1217.523875723353,validation_observed_window
2026-04-14,2026-04,2026,4,14,review_optional_major,IT관,IT관,2092,2092.0,2092.0,2092.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,50,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,66288.24,True,1863198.0,30,1.0,0.03557766807392451,1257.403733902677,validation_observed_window
2026-04-15,2026-04,2026,4,15,review_optional_major,IT관,IT관,2164,2164.0,2164.0,2164.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,51,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,65622.96,True,1863198.0,30,1.0,0.03522060457342698,1244.7842171363432,validation_observed_window
2026-04-16,2026-04,2026,4,16,review_optional_major,IT관,IT관,2218,2218.0,2218.0,2218.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,52,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,65127.6,True,1863198.0,30,1.0,0.034954739109853056,1235.3878669899816,validation_observed_window
2026-04-17,2026-04,2026,4,17,review_optional_major,IT관,IT관,1970,1970.0,1970.0,1970.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,53,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,64300.32,True,1863198.0,30,1.0,0.03451072832839022,1219.6954159461313,validation_observed_window
2026-04-18,2026-04,2026,4,18,review_optional_major,IT관,IT관,1556,1556.0,1556.0,1556.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,54,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,52819.2,True,1863198.0,30,1.0,0.028348677918288875,1001.9131493271245,validation_observed_window
2026-04-19,2026-04,2026,4,19,review_optional_major,IT관,IT관,1224,1224.0,1224.0,1224.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,55,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,50887.44,True,1863198.0,30,1.0,0.02731187989682256,965.2701152534514,validation_observed_window
2026-04-20,2026-04,2026,4,20,review_optional_major,IT관,IT관,2031,2031.0,2031.0,2031.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,56,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,66924.0,True,1863198.0,30,1.0,0.03591888784766836,1269.4632937562192,validation_observed_window
2026-04-21,2026-04,2026,4,21,review_optional_major,IT관,IT관,2054,2054.0,2054.0,2054.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,57,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,64900.8,True,1863198.0,30,1.0,0.03483301291650163,1231.0857590014589,validation_observed_window
2026-04-22,2026-04,2026,4,22,review_optional_major,IT관,IT관,2056,2056.0,2056.0,2056.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,58,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,64270.08,True,1863198.0,30,1.0,0.034494498169276695,1219.1218015476616,validation_observed_window
2026-04-23,2026-04,2026,4,23,review_optional_major,IT관,IT관,2067,2067.0,2067.0,2067.0,raw_kept,False,True,True,True,False,False,False,False,False,False,1860.0,30,1860.0,2036.0,30,2036.0,1860.0,1680.0,2070.0,390.0,medium,True,group_1: IT관 | 중앙기기센터분관 | 학생지원센터,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,59,4,35342.5,35342.5,2092.328965530994,33863.0,36822.0,2,"2024-04,2025-04",43650.846153846156,0.8096635715934662,30,1178.0833333333333,63321.84,True,1863198.0,30,1.0,0.033985566751359754,1201.1348929099322,validation_observed_window
