prediction_method,date,report_month,building_name_recent,usage_kwh_clean,pred_kwh,abs_error_kwh,abs_pct_error,validation_period
pred_realtime_uniform_daily_kwh,2026-06-22,2026-06,제1과학관,574.0,2895.05,2321.05,4.043641114982579,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-06-21,2026-06,상경관,1269.0,2600.0,1331.0,1.0488573680063042,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-06-07,2026-06,상경관,1285.0,2600.0,1315.0,1.0233463035019454,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-06-03,2026-06,상경관,1451.0,2600.0,1149.0,0.791867677463818,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-06-14,2026-06,상경관,1472.0,2600.0,1128.0,0.7663043478260869,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-05-18,2026-05,상경관,3086.0,1983.8709677419354,1102.1290322580646,0.3571383772709218,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-06-20,2026-06,상경관,1502.0,2600.0,1098.0,0.7310252996005326,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-05-28,2026-05,상경관,3042.0,1983.8709677419354,1058.1290322580646,0.34783991855952157,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-06-23,2026-06,상경관,1637.0,2600.0,963.0,0.5882712278558339,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-06-16,2026-06,기계관,3295.0,2337.0333333333333,957.9666666666667,0.2907334344967122,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-06-18,2026-06,기계관,3291.0,2337.0333333333333,953.9666666666667,0.289871366352679,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-06-06,2026-06,전기관,96.0,1039.9166666666667,943.9166666666667,9.832465277777779,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-06-07,2026-06,기계관,1414.0,2337.0333333333333,923.0333333333333,0.6527817067421028,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-04-05,2026-04,상경관,1082.0,2000.0,918.0,0.8484288354898336,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-06-17,2026-06,기계관,3249.0,2337.0333333333333,911.9666666666667,0.28069149481891864,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-06-22,2026-06,상경관,1690.0,2600.0,910.0,0.5384615384615384,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-05-26,2026-05,상경관,2874.0,1983.8709677419354,890.1290322580646,0.3097178261162368,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-05-10,2026-05,상경관,1098.0,1983.8709677419354,885.8709677419354,0.8068041600564074,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-06-06,2026-06,기계관,1467.0,2337.0333333333333,870.0333333333333,0.5930697568734379,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-05-05,2026-05,상경관,1130.0,1983.8709677419354,853.8709677419354,0.7556380245503853,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-05-24,2026-05,상경관,1132.0,1983.8709677419354,851.8709677419354,0.7525361905847485,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-06-18,2026-06,상경관,3445.0,2600.0,845.0,0.24528301886792453,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-06-16,2026-06,상경관,3442.0,2600.0,842.0,0.24462521789657177,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-05-19,2026-05,화공관,2890.0,2064.516129032258,825.483870967742,0.2856345574282844,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-05-02,2026-05,상경관,1170.0,1983.8709677419354,813.8709677419354,0.6956162117452439,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-05-03,2026-05,상경관,1171.0,1983.8709677419354,812.8709677419354,0.694168204732652,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-05-01,2026-05,상경관,1176.0,1983.8709677419354,807.8709677419354,0.6869651086240947,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-04-26,2026-04,상경관,1198.0,2000.0,802.0,0.669449081803005,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-05-18,2026-05,화공관,2861.0,2064.516129032258,796.483870967742,0.27839352358187414,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-05-28,2026-05,화공관,2861.0,2064.516129032258,796.483870967742,0.27839352358187414,validation_observed_window
pred_realtime_uniform_daily_kwh,2026-05-31,2026-05,상경관,1189.0,1983.8709677419354,794.8709677419354,0.6685205784204671,validation_observed_window
