building_name_recent,prediction_method,n_rows,actual_sum_kwh_clean,pred_sum_kwh,mae_kwh,rmse_kwh,mape,bias_kwh_mean,bias_pct_sum
건축관,pred_realtime_uniform_daily_kwh,84,86971.0,78218.01666666669,225.9352086533538,280.0970604505924,0.21791568003560127,-104.20218253968254,-0.10064255134853381
기계관,pred_realtime_uniform_daily_kwh,84,162841.0,168176.26666666666,390.61240399385565,482.40952480500346,0.23577664125373338,63.51507936507939,0.03276365698237341
박물관,pred_realtime_uniform_daily_kwh,84,50529.0,58972.66666666667,148.57552483358938,193.30270616121942,0.2624759919823396,100.51984126984131,0.16710535863893347
사범대학,pred_realtime_uniform_daily_kwh,84,78802.0,76233.33333333336,166.97311827956986,192.25896483114911,0.18870549481424523,-30.57936507936506,-0.03259646540273933
상경관,pred_realtime_uniform_daily_kwh,84,171864.0,181300.0,460.3794162826421,590.537121750952,0.2767473289020873,112.33333333333329,0.05490387748452263
생활과학대,pred_realtime_uniform_daily_kwh,84,96063.0,84688.28333333334,223.1700780849974,269.20134774152484,0.18985277739171116,-135.4132936507937,-0.11840892608670009
섬유관,pred_realtime_uniform_daily_kwh,84,93516.0,90207.56666666665,179.7167050691244,206.7030708490351,0.1664185514594154,-39.38611111111107,-0.035378259691746114
외국어교육원,pred_realtime_uniform_daily_kwh,84,38542.0,35665.0,141.13504864311315,147.56710095124225,0.3559756780037609,-34.24999999999999,-0.07464584090083544
음대,pred_realtime_uniform_daily_kwh,84,50904.0,51950.0,84.3379416282642,108.2368221882893,0.1492308054260385,12.452380952380947,0.02054848341977054
인문계식당,pred_realtime_uniform_daily_kwh,84,33526.0,23418.333333333336,176.02931387608805,201.33502000375208,0.43246301431009104,-120.32936507936509,-0.30148740281174813
전기관,pred_realtime_uniform_daily_kwh,84,95905.33333333334,86802.58333333334,202.8762480798771,243.20140573334604,0.27835792848716584,-108.36607142857144,-0.09491390815943501
제1공장형실습장,pred_realtime_uniform_daily_kwh,84,65402.0,65583.33333333333,115.058115719406,146.1779013256752,0.15402786775590815,2.1587301587301306,0.00277259614894546
제1과학관,pred_realtime_uniform_daily_kwh,84,222866.43181818182,222093.64999999997,338.78689079737467,456.95653937740764,0.16815414516398844,-9.199783549783396,-0.0034674661943358684
제2공장형실습장,pred_realtime_uniform_daily_kwh,84,35782.0,31388.33333333334,141.02240143369175,160.39861127535136,0.36360255200330877,-52.305555555555536,-0.12278985709760956
제2인문관,pred_realtime_uniform_daily_kwh,84,21938.0,23534.85,46.01187275985663,57.66581514414862,0.20009656534457396,19.01011904761905,0.07278922417722673
제3과학관,pred_realtime_uniform_daily_kwh,84,76130.0,78716.66666666666,152.65181771633385,193.85739154693536,0.1815037482570815,30.793650793650777,0.03397696921931782
화공관,pred_realtime_uniform_daily_kwh,84,211676.0,191800.0,340.5852534562212,391.86313763607933,0.1315399165071518,-236.61904761904765,-0.09389822181069182
건축관,pred_weekday_recent_kwh,84,86971.0,84028.71680491552,173.70116322873233,219.86385088833904,0.1757886444045117,-35.027180893862905,-0.03383062394458479
기계관,pred_weekday_recent_kwh,84,162841.0,160740.26173579105,340.7501007607344,414.7949289186711,0.1913200915537012,-25.008788859629878,-0.01290054878199538
박물관,pred_weekday_recent_kwh,84,50529.0,51293.73210445469,76.3864055299539,96.18378670116357,0.1403599438016573,9.103953624460537,0.015134518879350177
사범대학,pred_weekday_recent_kwh,84,78802.0,77578.42019969279,130.93056927071908,167.31137776095585,0.14886476075051308,-14.56642619413357,-0.015527268347341689
상경관,pred_weekday_recent_kwh,84,171864.0,170900.97334869436,402.2927666227782,515.9674268803916,0.22495010778872335,-11.464602991734361,-0.005603422772108681
생활과학대,pred_weekday_recent_kwh,84,96063.0,91268.18668202765,155.3511292151269,198.35754310805513,0.13665787744409277,-57.081110928242275,-0.04991321651387476
섬유관,pred_weekday_recent_kwh,84,93516.0,91839.37321044545,138.5552031672884,172.8469263808542,0.12855851183282221,-19.959842732792033,-0.01792876929674634
외국어교육원,pred_weekday_recent_kwh,84,38542.0,37116.63832565285,105.78323915587741,124.92519995614305,0.27036343404980345,-16.968591361275692,-0.03698203711138909
음대,pred_weekday_recent_kwh,84,50904.0,51022.85898617512,66.44221527320606,82.60376051562106,0.11423074430044901,1.4149879306561226,0.002334963581940796
인문계식당,pred_weekday_recent_kwh,84,33526.0,29392.181336405527,120.61329365079362,144.81763107671895,0.3432022372457483,-49.212126947553216,-0.12330187506992991
전기관,pred_weekday_recent_kwh,84,95905.33333333334,92461.99772145417,152.0200638618649,201.58909564484617,0.2457739908741724,-40.992090617609065,-0.03590348411502135
제1공장형실습장,pred_weekday_recent_kwh,84,65402.0,64665.81075268817,86.35559761539024,112.09565534840334,0.1135385734727877,-8.764157706093195,-0.011256372088190398
제1과학관,pred_weekday_recent_kwh,84,222866.43181818182,220727.68226382486,284.5364184658468,403.3654883839436,0.14373917613860832,-25.461304218534877,-0.009596553132334248
제2공장형실습장,pred_weekday_recent_kwh,84,35782.0,33647.237941628264,111.43753748811352,136.93362660219142,0.29832282177163083,-25.413834028234948,-0.05966022185377384
제2인문관,pred_weekday_recent_kwh,84,21938.0,22123.992688172042,35.54216004681442,49.12908688287474,0.14518619697843577,2.2141986687147983,0.008478105942749708
제3과학관,pred_weekday_recent_kwh,84,76130.0,75228.35307219662,111.51233724672664,157.66909431689177,0.12744478141636606,-10.733891997659281,-0.011843516718814917
화공관,pred_weekday_recent_kwh,84,211676.0,203989.43755760367,233.95931991076,281.3901329072134,0.09394979475428022,-91.50669574281333,-0.036312867034507076
