feature,n_rows,pearson_r,pearson_pvalue,spearman_r,spearman_pvalue
month,1190,0.031243954951595373,0.28150999432102397,0.027752678241611314,0.3387969825896562
day,1190,0.003945067622949797,0.891862352703609,0.04315019303343636,0.13684219566363132
day_of_week,1190,0.04905447665688996,0.09075248274223374,0.058011063313128344,0.04541896620592121
is_weekend,1190,0.0622044496330886,0.031900825592383,0.09182681571628588,0.0015188109009109752
day_of_year,1190,0.03711155809949031,0.20078806463819096,0.04083017187216763,0.1592496240240636
baseline_uniform_daily_kwh,1190,-0.06845941184062679,0.018181980799394495,-0.10010112479954275,0.0005438255128428772
profile_monthly_kwh_mean,1190,-0.07056084754208908,0.014909476388979612,-0.1006408688739549,0.0005071947177524388
lag_1d_kwh,1190,-8.104069173755787e-05,0.9977717728303426,-0.06559618565278368,0.02364246419557594
lag_3d_mean_kwh,1190,-0.029462315112257834,0.3098697117152576,-0.08504967734577382,0.0033232043909912313
lag_7d_mean_kwh,1190,-0.03277037070323736,0.2586556045936081,-0.07850096932060792,0.006741824688772183
lag_7d_same_weekday_kwh,1190,-0.02828133091485669,0.3296728100502748,-0.07658335641134316,0.008218618228834984
