feature,mean_abs_shap_kwh,mean_shap_kwh,spearman_feature_value_vs_shap
lag_7d_same_weekday_kwh,284.8345280489167,-6.3865982802786645,0.9586468026823624
lag_1d_kwh,221.78126788355485,1.0111141813232176,0.9696418409699306
day_of_week,62.621563980803785,1.9840938683950116,-0.9277942454899833
lag_7d_mean_kwh,47.894720427487506,6.3579078259257855,0.9544970004218902
profile_monthly_kwh_mean,32.504339947526795,2.491507332543556,0.877496756084678
day_of_year,20.37997631558726,1.689070666260454,0.589359947046776
profile_monthly_kwh_min,20.31467351632924,3.419208802553181,0.8701677868171381
overall_avg_monthly_kwh,15.702330559965807,-0.9547988100401642,0.9082782201677704
day,14.824840828777807,0.5562273774354397,-0.001509789609774708
profile_monthly_kwh_max,13.316189937501187,0.5865288897969316,0.5613459743376512
is_weekend,10.193619493764979,0.44867789853750567,-0.76375500035882
lag_3d_mean_kwh,8.316061047815618,-0.6652189241239352,0.7820592443949163
month,2.7904259710485655,-2.0895133213969728,-0.5874761021327957
baseline_uniform_daily_kwh,1.6867002086237466,0.2393877596879001,0.3105213605235915
month_factor_vs_overall,1.632172390337996,0.0879555451221021,0.17323542956054347
profile_monthly_kwh_std,1.4279168990765614,0.3549128803813593,-0.46183810601641423
profile_monthly_kwh_median,1.1443645325923175,0.23589699060219455,0.6718713401847095
calendar_days_in_month,0.5186422040516657,0.0781743120661973,0.7619348010633478
building_제2인문관,0.37106432468608164,0.20494968938351255,-0.4353573768282047
building_제2공장형실습장,0.29579859374725076,0.019483444116066412,-0.38754743721467544
building_전기관,0.24851366354838225,1.646931594543639e-05,0.411677430881673
building_박물관,0.14560623605778808,0.0020249887561024846,-0.41178325324194565
building_화공관,0.12621195109216074,-0.005084886090741268,0.41753319694073193
building_사범대학,0.10462206314059541,-0.013802610762567785,0.40270852824809356
building_건축관,0.0835888840989113,-0.006174064407762372,0.4167385121960996
building_기계관,0.08170138577521255,0.04785068980809612,-0.4353873334525043
building_제1공장형실습장,0.07794980394641504,-0.010818207211699843,0.4114932159307491
building_제3과학관,0.07552450565662566,0.002159337144618926,-0.4107043382244385
building_음대,0.0676756922466914,0.013596116143960484,-0.42291066062305765
building_섬유관,0.04389468286690649,0.010562950746905742,-0.3899721943707231
building_외국어교육원,0.020070301124536276,-0.0037010937556296985,0.4159461145270299
profile_source_month_count,0.0,0.0,
building_생활과학대,0.0,0.0,
building_상경관,0.0,0.0,
building_제1과학관,0.0,0.0,
building_인문계식당,0.0,0.0,
