interval,nominal_coverage,actual_coverage,coverage_gap_actual_minus_nominal,mean_interval_width_kwh,median_interval_width_kwh
lightgbm_90,0.9,0.7226890756302521,-0.17731092436974794,450.41275503119147,345.11850203267886
lightgbm_80,0.8,0.6084033613445378,-0.19159663865546228,310.72831540845465,243.25404332290657
lightgbm_weather_90,0.9,0.7310924369747899,-0.16890756302521015,452.47280004780384,351.22236025348593
lightgbm_weather_80,0.8,0.6134453781512605,-0.1865546218487395,320.31489314551345,247.93546649527434
lightgbm_weather_area_90,0.9,0.7327731092436974,-0.1672268907563026,459.5379204648911,355.3922113719171
lightgbm_weather_area_80,0.8,0.6016806722689075,-0.1983193277310925,319.44401054037803,249.3774226329351
lightgbm_weather_academic_90,0.9,0.738655462184874,-0.16134453781512603,454.30704533214475,358.0555708299707
lightgbm_weather_academic_80,0.8,0.6067226890756302,-0.19327731092436984,316.6863837783987,243.34172436420477
lightgbm_weather_area_academic_90,0.9,0.7294117647058823,-0.1705882352941177,460.2306529934102,359.2378166656647
lightgbm_weather_area_academic_80,0.8,0.6176470588235294,-0.1823529411764706,318.576133663579,241.17476467261798
