model,prediction_method,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mean_actual_kwh,mae_kwh,rmse_kwh,wape,nmae,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual,building_name_recent
기계관,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,136365.0,132419.75351396907,1948.0714285714287,307.2434687144045,390.96961761340737,0.15771673677269327,0.15771673677269324,-56.36066408615607,-0.028931518249044292,기계관
제1과학관,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,183967.68181818182,180286.41729406352,2628.10974025974,237.07133477232324,405.5902393407962,0.09020602570001247,0.09020602570001247,-52.58949320169059,-0.020010387083947673,제1과학관
상경관,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,145964.0,143517.31295275112,2085.2,357.7753740257255,517.9671767231486,0.17157844524540836,0.17157844524540838,-34.95267210355581,-0.016762263621501922,상경관
화공관,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,176969.0,174813.5940480995,2528.1285714285714,187.21954521179063,241.70242406734906,0.07405459806421093,0.07405459806421093,-30.791513598578735,-0.01217956790116072,화공관
사범대학,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,65392.0,65069.59292759284,934.1714285714286,104.62104311852542,143.63811244679422,0.1119934092594932,0.1119934092594932,-4.605815320102265,-0.004930374853302523,사범대학
인문계식당,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,28526.0,28470.755665511453,407.51428571428573,78.58103853971988,112.82238210939717,0.19283014435183313,0.19283014435183313,-0.7892047784077939,-0.0019366309503100882,인문계식당
생활과학대,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,77614.0,77539.94629403223,1108.7714285714285,131.41152651500474,179.46709001243912,0.1185199430006227,0.11851994300062273,-1.0579100852538934,-0.000954128198105658,생활과학대
건축관,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,72933.0,72947.51381949501,1041.9,145.56897715887473,188.0419468952931,0.13971492193000742,0.1397149219300074,0.20734027850009593,0.00019900209089173234,건축관
전기관,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,78682.33333333334,78791.93032610031,1124.0333333333335,150.0993558069159,206.72658619010184,0.13353639198741069,0.13353639198741069,1.5656713252421777,0.0013929047109298457,전기관
제3과학관,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,62772.0,62870.834884708755,896.7428571428571,95.5833642551132,146.9599777442068,0.10658949050305747,0.10658949050305748,1.4119269244106833,0.001574505905638626,제3과학관
제1공장형실습장,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,55797.0,55996.46564751975,797.1,80.01052096883295,109.0136427418392,0.10037701790093206,0.10037701790093206,2.8495092502821926,0.0035748453773456184,제1공장형실습장
섬유관,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,76228.0,77157.86718666372,1088.9714285714285,111.33988034487058,151.27191411361446,0.10224316031039697,0.10224316031039697,13.28381695233899,0.012198499064172343,섬유관
음대,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,42136.0,42662.27738806488,601.9428571428572,55.660818163495115,78.26632476120919,0.09246860811288822,0.09246860811288822,7.518248400926939,0.012489970288230628,음대
박물관,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,42142.0,43169.912140310225,602.0285714285715,57.971911243206975,91.47831225208988,0.09629428567757792,0.0962942856775779,14.684459147288967,0.024391631633767445,박물관
제2공장형실습장,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,29283.0,30193.404008721234,418.3285714285714,87.02482903139413,123.42751008325746,0.20802984776824743,0.20802984776824743,13.005771553160523,0.031089847649531696,제2공장형실습장
제2인문관,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,17786.0,18389.613771586497,254.0857142857143,32.39092899964535,49.141933064943714,0.1274803232865835,0.1274803232865835,8.623053879807108,0.03393757852167421,제2인문관
외국어교육원,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,70,30950.0,32252.298565882782,442.14285714285717,63.734796267943054,99.49722324982035,0.14414978154300528,0.14414978154300528,18.604265226896885,0.04207749808991218,외국어교육원
