model,quantile,prediction_column,pinball_loss_kwh
lightgbm_quantile_walk_forward,0.05,pred_lightgbm_q05_kwh,25.51016356622272
lightgbm_quantile_walk_forward,0.1,pred_lightgbm_q10_kwh,37.53498344534335
lightgbm_quantile_walk_forward,0.5,pred_lightgbm_q50_kwh,67.15613862169958
lightgbm_quantile_walk_forward,0.9,pred_lightgbm_q90_kwh,37.31313942584448
lightgbm_quantile_walk_forward,0.95,pred_lightgbm_q95_kwh,26.940116589912193
lightgbm_weather_quantile_walk_forward,0.05,pred_lightgbm_weather_q05_kwh,25.67490021817011
lightgbm_weather_quantile_walk_forward,0.1,pred_lightgbm_weather_q10_kwh,37.81808342552468
lightgbm_weather_quantile_walk_forward,0.5,pred_lightgbm_weather_q50_kwh,65.99239701355764
lightgbm_weather_quantile_walk_forward,0.9,pred_lightgbm_weather_q90_kwh,35.69748806864185
lightgbm_weather_quantile_walk_forward,0.95,pred_lightgbm_weather_q95_kwh,26.99930923380974
lightgbm_weather_area_quantile_walk_forward,0.05,pred_lightgbm_weather_area_q05_kwh,25.61916853392884
lightgbm_weather_area_quantile_walk_forward,0.1,pred_lightgbm_weather_area_q10_kwh,37.94570381597926
lightgbm_weather_area_quantile_walk_forward,0.5,pred_lightgbm_weather_area_q50_kwh,65.73110871355397
lightgbm_weather_area_quantile_walk_forward,0.9,pred_lightgbm_weather_area_q90_kwh,35.492670959218266
lightgbm_weather_area_quantile_walk_forward,0.95,pred_lightgbm_weather_area_q95_kwh,26.32067194526323
lightgbm_weather_academic_quantile_walk_forward,0.05,pred_lightgbm_weather_academic_q05_kwh,25.00341119026823
lightgbm_weather_academic_quantile_walk_forward,0.1,pred_lightgbm_weather_academic_q10_kwh,38.00129350357456
lightgbm_weather_academic_quantile_walk_forward,0.5,pred_lightgbm_weather_academic_q50_kwh,66.44930535299329
lightgbm_weather_academic_quantile_walk_forward,0.9,pred_lightgbm_weather_academic_q90_kwh,35.930074940228806
lightgbm_weather_academic_quantile_walk_forward,0.95,pred_lightgbm_weather_academic_q95_kwh,25.992125466411473
lightgbm_weather_area_academic_quantile_walk_forward,0.05,pred_lightgbm_weather_area_academic_q05_kwh,24.964987065433792
lightgbm_weather_area_academic_quantile_walk_forward,0.1,pred_lightgbm_weather_area_academic_q10_kwh,37.164269161467125
lightgbm_weather_area_academic_quantile_walk_forward,0.5,pred_lightgbm_weather_area_academic_q50_kwh,66.8594559877088
lightgbm_weather_area_academic_quantile_walk_forward,0.9,pred_lightgbm_weather_area_academic_q90_kwh,35.81282163354563
lightgbm_weather_area_academic_quantile_walk_forward,0.95,pred_lightgbm_weather_area_academic_q95_kwh,26.901467875558538
