hour,model,prediction_method,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mean_actual_kwh,mae_kwh,rmse_kwh,wape,mape,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual
0,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,66952.8,67047.84,2308.7172413793105,115.99448275862068,207.35284470413364,0.050241961501236686,0.05345204485847105,3.2772413793103436,0.0014195074739219264
1,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,66384.0,66500.64000000001,2289.103448275862,73.34068965517235,117.1383987809527,0.03203904555314531,0.032676436580382044,4.022068965517253,0.001757049891540135
2,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,65300.4,65418.48000000001,2251.7379310344827,63.211034482758556,109.94063350987071,0.028072109818622827,0.028595699311152314,4.071724137931032,0.0018082584486465614
3,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,64428.479999999996,64517.76,2221.671724137931,63.75724137931029,105.71046260161887,0.02869786777524471,0.029165713855004504,3.0786206896551636,0.0013857225872781688
4,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,62558.64000000001,62629.20000000001,2157.194482758621,62.416551724137875,104.95866693854889,0.028934132839204915,0.029568332643167584,2.433103448275868,0.001127901757455088
5,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,60833.520000000004,60888.24,2097.707586206897,68.82206896551718,110.12031739623832,0.032808228095300054,0.033394162090498634,1.886896551724139,0.0008995040891929322
6,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,63945.36000000001,63867.600000000006,2205.012413793104,104.57379310344825,157.0984267793657,0.047425489511670575,0.048269228216912735,-2.6813793103448273,-0.0012160381926069378
7,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,69718.32,69538.31999999999,2404.0800000000004,190.97379310344823,287.35294899574586,0.07943737026365522,0.08190015549505218,-6.206896551724138,-0.002581817806281046
8,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,79352.64,78945.84,2736.2979310344826,376.51034482758627,558.7733799598226,0.13759844663013104,0.14484086798793072,-14.027586206896542,-0.005126483504518561
9,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,96209.28,95207.04,3317.561379310345,670.9406896551724,1004.8216512053443,0.2022391187211878,0.21994001870898847,-34.559999999999995,-0.010417290307130454
10,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,103021.92,101566.08,3552.48,768.8110344827587,1124.724763462078,0.2164153026850985,0.23608341755964468,-50.20137931034482,-0.014131361558782828
11,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,108566.64,106966.8,3743.6772413793105,828.1489655172412,1199.9772858539936,0.22121270401294538,0.2412734438460502,-55.16689655172414,-0.014736018357020169
12,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,108853.92,107417.52,3753.583448275862,802.5020689655174,1157.7093787183437,0.2137962509756195,0.23067115808023528,-49.53103448275862,-0.013195666265394946
13,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,116364.95999999999,114732.72,4012.5848275862068,889.9944827586208,1294.5428843178317,0.2218007895160193,0.2397376124214378,-56.28413793103449,-0.014026902943979016
14,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,115948.07999999999,114375.59999999999,3998.2096551724135,868.8165517241381,1228.5511396707127,0.21730139903998416,0.23103390904563154,-54.22344827586207,-0.01356193220275834
15,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,116740.07999999999,115183.43999999997,4025.5199999999995,846.8689655172412,1193.0811064027341,0.21037504856943734,0.2205816962451543,-53.67724137931036,-0.013334237906981052
16,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,110828.16000000002,109514.88,3821.660689655173,730.7751724137931,1015.9967936957281,0.19121927134764302,0.19783703017132365,-45.2855172413793,-0.011849695961748346
17,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,102748.32,101911.68,3543.0455172413795,568.104827586207,771.7463813527307,0.16034364357490224,0.1621194064255146,-28.84965517241379,-0.008142614886549968
18,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,91663.92000000001,91142.64,3160.8248275862074,382.94068965517243,512.5483877846946,0.12115213924955423,0.12139934482010646,-17.975172413793096,-0.005686861308135193
19,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,89141.04000000001,88712.64000000003,3073.8289655172416,339.6662068965517,445.231554230783,0.11050263716914228,0.10970586878214512,-14.772413793103452,-0.004805867196523622
20,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,85216.31999999999,84991.68000000001,2938.493793103448,250.808275862069,335.1305242788968,0.08535266484166415,0.08523234503924275,-7.74620689655172,-0.002636114772381627
21,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,80215.2,80088.48,2766.041379310345,174.93517241379305,247.1098248650336,0.06324387397899649,0.06350393294872267,-4.369655172413786,-0.0015797504712323825
22,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,74373.84000000001,74318.4,2564.6151724137935,111.40137931034482,167.6155542119916,0.04343785395510033,0.04372670990804753,-1.9117241379310363,-0.0007454233908051547
23,naive_last_day_same_hour,pred_last_day_same_hour_kwh,pred_last_day_same_hour_kwh,29,70901.28000000001,70894.08,2444.8717241379313,94.74206896551719,153.85557616557603,0.03875134553283097,0.0394346251631116,-0.24827586206895924,-0.00010154964762272017
0,naive_last_week_same_hour,pred_last_week_same_hour_kwh,pred_last_week_same_hour_kwh,29,66952.8,67768.56,2308.7172413793105,191.34620689655176,257.00376446994727,0.08287987955694162,0.08653765420424513,28.129655172413784,0.01218410581782987
1,naive_last_week_same_hour,pred_last_week_same_hour_kwh,pred_last_week_same_hour_kwh,29,66384.0,67170.23999999999,2289.103448275862,149.85931034482752,201.09990188443905,0.06546637744034704,0.06704640368918828,27.11172413793106,0.011843817787418666
2,naive_last_week_same_hour,pred_last_week_same_hour_kwh,pred_last_week_same_hour_kwh,29,65300.4,66028.31999999999,2251.7379310344827,142.78344827586204,192.53500804824532,0.0634103313302828,0.06471714741123112,25.1006896551724,0.011147251777937036
