report_date,baseline_kwh,actual_kwh,avoided_kwh,avoided_pct
2026-06-01,80004.55,83738.16,-3733.61,-0.046667
2026-06-02,76355.53,80763.84,-4408.31,-0.057734
2026-06-03,80130.42,62477.28,17653.14,0.220305
2026-06-04,80277.68,85636.08,-5358.4,-0.066748
2026-06-05,77280.07,80408.16,-3128.09,-0.040477
2026-06-06,59597.15,59641.92,-44.77,-0.000751
2026-06-07,59176.26,58065.84,1110.42,0.018765
2026-06-08,80236.91,78613.2,1623.71,0.020236
2026-06-09,81740.82,76991.76,4749.06,0.058099
2026-06-10,81158.12,78500.16,2657.96,0.03275
2026-06-11,80342.22,77702.4,2639.82,0.032857
2026-06-12,76754.24,77166.72,-412.48,-0.005374
2026-06-13,61188.18,63441.36,-2253.18,-0.036824
2026-06-14,61334.61,60075.36,1259.25,0.020531
2026-06-15,82726.89,83306.88,-579.99,-0.007011
2026-06-16,82765.78,85548.24,-2782.46,-0.033619
2026-06-17,82937.93,86443.92,-3505.99,-0.042272
2026-06-18,81825.24,88953.84,-7128.6,-0.08712
2026-06-19,77816.13,81813.6,-3997.47,-0.051371
2026-06-20,62499.23,57592.8,4906.43,0.078504
