building_name_recent,model,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mae_kwh,rmse_kwh,wape,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual
건축관,weather_school_shape,pred_weather_school_kwh,84,86971.0,78692.03330929873,201.8034846187164,249.7955314170085,0.19490971367435328,-98.55912727025333,-0.09519226743053753
기계관,weather_school_shape,pred_weather_school_kwh,84,162841.0,168354.74078422275,253.54918846234347,323.7475676611406,0.13079096683781632,65.639771240747,0.033859659325493875
박물관,weather_school_shape,pred_weather_school_kwh,84,50529.0,59585.117459591,138.27425074144202,216.2641581112454,0.2298687300813618,107.81092213798816,0.17922613666589493
사범대학,weather_school_shape,pred_weather_school_kwh,84,78802.0,76033.37564239657,106.54798119104076,136.2313692180875,0.11357618360000284,-32.95981378099313,-0.03513393514889753
상경관,weather_school_shape,pred_weather_school_kwh,84,171864.0,181778.14591411166,323.1891550202285,460.5286688872722,0.1579614638417539,118.02554659656748,0.05768599540399193
생활과학대,weather_school_shape,pred_weather_school_kwh,84,96063.0,84960.1274055967,211.37576971614834,246.66804252277348,0.18483250217207936,-132.17705469527735,-0.11557907409099547
섬유관,weather_school_shape,pred_weather_school_kwh,84,93516.0,89826.27117523381,108.81544116027379,140.2844441783462,0.09774260081123015,-43.925343151978375,-0.03945558861335155
외국어교육원,weather_school_shape,pred_weather_school_kwh,84,38542.0,35439.13997687386,101.36705101731643,114.53943854133146,0.22092346752775102,-36.93880979912075,-0.08050594217025954
음대,weather_school_shape,pred_weather_school_kwh,84,50904.0,51795.22787920391,71.10523543048578,91.07220836014353,0.11733537199750127,10.609855704808393,0.017508012714205268
인문계식당,weather_school_shape,pred_weather_school_kwh,84,33526.0,23556.064580513994,148.35963815571134,178.41805854830565,0.37171775950246827,-118.68970737483332,-0.2973792107464654
전기관,weather_school_shape,pred_weather_school_kwh,84,95905.33333333334,86418.55200363745,171.05804102073495,215.05771760551607,0.14982352853934158,-112.93787297256998,-0.09891818317051408
제1공장형실습장,weather_school_shape,pred_weather_school_kwh,84,65402.0,65680.82081665336,89.78389753056234,119.9766418284698,0.11531524101047731,3.319295436349467,0.004263184866722045
제1과학관,weather_school_shape,pred_weather_school_kwh,84,222866.43181818182,221802.9124831752,268.15139633904727,414.2559811452364,0.101068236740363,-12.660944464364754,-0.004772003241269983
제2공장형실습장,weather_school_shape,pred_weather_school_kwh,84,35782.0,31233.643485174496,107.73239060485466,135.1325063293714,0.25290707089619896,-54.147101366970304,-0.1271129762122158
제2인문관,weather_school_shape,pred_weather_school_kwh,84,21938.0,23455.443215655927,35.88409802481135,44.72170266574155,0.13739922664254506,18.06480018638006,0.06916962419800918
제3과학관,weather_school_shape,pred_weather_school_kwh,84,76130.0,79063.16502419591,120.82783972874962,172.384917347826,0.1333185148721262,34.918631240427395,0.03852837283851177
화공관,weather_school_shape,pred_weather_school_kwh,84,211676.0,191834.50751539783,301.4848309093958,357.4680317082128,0.11963909841639699,-236.208243864312,-0.09373520136719424
